class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_10,diss_20,diss_25,diss_5,diss_a,rough_10,rough_20,rough_25,rough_5,rough_a,slp_d,sp_10,sp_20,sp_25,sp_5,sp_a,dem_m
not,5907.27002,7.9352899,-0.0417074,0.0781865,0.119894,0.47652,0.439596,0.483451,0.517372,0.479235,4.0857801,5.7946,6.5820198,3.0025001,4.86622,21.1324997,-0.64386,-2.1275001,-2.4374399,-0.310638,-1.37986,374.3959961
not,36.4435005,5.8158498,2.8015101,1.5898,-1.21171,0.314578,0.307135,0.276224,0.562971,0.365227,1.6453201,2.4976699,2.8194101,1.06408,2.0066199,5.1085801,-0.650269,-4.1779199,-6.4116802,0.501343,-2.6846299,629.3099976
not,1353.209961,5.7059798,0.125235,-0.0382811,-0.163516,0.651287,0.786544,0.810471,0.588234,0.709134,2.5021701,2.9540601,3.0531199,2.0077801,2.6292801,11.2858,3.3677399,10.0767002,12.5319004,0.940308,6.7291698,672.7949829
not,8086.310059,5.3711901,1.04536,0.177234,-0.868125,0.594016,0.647069,0.66871,0.585269,0.623766,5.1160102,7.1532402,7.9330702,3.6568899,5.9647999,29.1543007,5.94836,14.5202999,18.9190998,2.0199001,10.3519001,567.6729736
not,289.8429871,7.6245499,0.209064,0.180548,-0.0285164,0.210812,0.158831,0.162195,0.384134,0.228993,2.80478,3.7245901,3.9579201,1.8678,3.0887699,4.18928,-2.2404201,-8.2184401,-11.6831999,-0.223267,-5.5913301,499.2290039
not,2874.360107,5.5045199,0.58541,0.103392,-0.482018,0.52157,0.468993,0.413862,0.545455,0.48747,2.8071301,3.32513,3.54986,2.23647,2.97965,13.7177,1.1626,1.09589,0.211304,0.795227,0.816254,716.4829712
not,492.4790039,8.3544903,0.376383,0.0720014,-0.304382,0.520002,0.576924,0.587981,0.644119,0.582256,2.2846501,2.84201,3.1988699,1.7126499,2.5095501,6.0452099,1.59955,-0.307434,-1.46106,0.972961,0.201004,556.0570068
not,8672.259766,4.8858099,1.92329,0.414133,-1.50915,0.691703,0.764473,0.797445,0.673376,0.731749,3.4288001,4.8091502,5.2926502,2.41312,3.98593,12.7670002,5.6626902,14.2364998,19.7985001,2.27701,10.4937,509.4899902
not,3475.27002,6.7579298,-0.167357,0.0419172,0.209274,0.409705,0.431767,0.417937,0.399506,0.414729,3.69314,5.4086099,5.9607501,2.6050401,4.4168801,17.4136009,-1.93994,-1.59253,-1.10104,-1.33295,-1.4916199,463.0249939
not,252.125,7.25881,0.0123577,-0.0054146,-0.0177723,0.453673,0.384629,0.43264,0.545811,0.454188,2.06689,3.1399801,3.3644099,1.52665,2.5244801,6.0276098,0.498169,-0.779114,-1.04254,0.125,-0.299622,560.5949707
not,572.7949829,9.25525,0.0085901,0.0001358,-0.0084543,0.383099,0.269799,0.275433,0.493788,0.35553,2.18153,3.1066699,3.36676,1.5031,2.53951,5.5699201,-0.315918,-2.0843501,-3.49506,-0.006958,-1.47557,563.8729858
not,1160.540039,5.78613,0.627117,0.124307,-0.50281,0.580257,0.534403,0.486281,0.578761,0.544926,3.0072701,3.9682,4.16961,2.2000899,3.3362899,15.4446001,2.4969499,8.11765,7.49054,0.614197,4.6798301,489.8139954
not,2542.149902,5.23629,3.5541301,1.30476,-2.2493701,0.702506,0.714434,0.694308,0.745138,0.714096,2.8041301,3.8989601,4.25981,2.20841,3.29283,17.7028999,4.0861201,6.64923,7.6756601,2.56427,5.2438202,553.7540283
not,595.1240234,8.9445896,0.125461,-0.112417,-0.237878,0.941027,0.979779,0.917746,0.775685,0.90356,1.54768,2.8993199,3.5164001,0.868148,2.20789,1.12091,2.1612501,9.0124502,11.6912003,0.434387,5.82481,647.6660156
not,7423.740234,7.0837498,-0.0417827,-0.0140289,0.0277538,0.440684,0.489792,0.491087,0.464647,0.471553,4.9348402,6.9374399,7.67871,3.47229,5.7558198,26.7103004,-2.7832601,-5.2915001,-5.20889,-0.538513,-3.4555399,424.1459961
not,0,14.9659004,-1.0454299,-0.885344,0.16009,0.253425,0.24377,0.218943,0.183242,0.224845,1.99797,2.75402,3.0701599,1.21263,2.2586901,2.52228,-3.8089001,-8.6221304,-10.3817997,-1.30743,-6.0300798,557.9869995
not,1895.560059,8.3817902,0.167282,0.0700156,-0.0972659,0.496147,0.67668,0.692482,0.453125,0.579608,2.1698999,3.16751,3.42677,1.45471,2.5547199,5.4937801,-0.226685,1.51556,2.5203199,-0.212402,0.8992,655.8280029
not,514.8430176,6.1986098,-0.167131,-0.0743566,0.0927742,0.497049,0.473398,0.46,0.567936,0.499596,2.44521,3.74894,3.9744401,1.61801,2.94665,6.9520402,0.909485,-0.0157471,-2.4103401,0.217407,-0.324799,558.697998
not,36.031601,6.0182099,1.50508,0.960231,-0.544851,0.38575,0.327688,0.286611,0.490739,0.372697,1.7421,2.6687,3.0555899,1.22751,2.17347,4.1763701,-0.681213,-3.5961299,-5.5167198,0.107849,-2.42155,543.4920044
not,203.6340027,6.4179401,0.627306,0.128162,-0.499144,0.406254,0.236285,0.308453,0.756311,0.426826,1.5479,2.9881599,3.4703701,1.03477,2.2602999,2.80299,0.767578,-4.4726601,-7.6627202,0.572021,-2.69894,626.5670166
not,515.3469849,8.5813799,-0.0461155,-0.0268184,0.0192971,0.495726,0.647977,0.630238,0.469708,0.560912,1.04316,1.44625,1.67751,0.709343,1.2190599,1.28939,-0.265747,0.526123,1.14142,-0.135803,0.316498,811.6149902
not,0,12.1483002,-4.2602501,-1.88762,2.3726399,0.16835,0.2165,0.230213,0.26771,0.220693,2.50425,3.0072501,3.2516501,1.6284699,2.5978999,2.7931299,-7.7691002,-14.7588997,-17.7380009,-3.2769799,-10.8857002,603.2869873
not,1590.589966,6.3322301,-2.5086999,-1.20681,1.30188,0.578566,0.582284,0.59852,0.432964,0.548084,3.30303,4.09306,4.4248099,2.65955,3.62011,17.7474003,3.7858,12.1927996,14.5620003,-0.831207,7.42735,416.052002
not,1337.979981,7.7592201,-0.196066,-0.200142,-0.0040761,0.563889,0.561023,0.582771,0.576878,0.57114,1.92714,2.7391901,2.9812701,1.39702,2.2611599,3.6629901,0.558533,1.96863,2.8909299,0.0452881,1.36584,853.3720093
not,1452.439941,8.9511604,-0.460024,-0.294402,0.165622,0.730198,0.824248,0.851048,0.3629,0.692099,1.6677999,2.72456,3.0750101,1.0467499,2.12853,3.3373699,0.253174,5.2592201,8.0072002,-0.430237,3.2723401,600.4219971
not,1742.280029,7.9087701,0.0749753,0.0734358,-0.0015395,0.596198,0.55496,0.513364,0.544845,0.552341,1.91278,2.53706,2.8455999,1.37792,2.16834,4.4131098,0.60968,0.666077,0.446594,0.161011,0.47084,848.3670044
