class,slp,sp21,sp11,sp7,rph21,rph11,rph7,diss21,diss11,diss7,slpmn21,slpmn11,slpmn7,sei,hli,asp_lin,sar,ssr21,ssr11,ssr7,crossc21,crossc11,crossc7,planc21,planc11,planc7,proc21,proc11,proc7,longc21,longc11,longc7,us_dist,state_dist,local_dist,strm_dist,strm_cost,us_cost,state_cost,local_cost,steve,dspm,drain
not,19.8649998,1.1679699,0.152374,-0.052124,77.4618988,21.6727009,8.0077105,0.543449,0.510643,0.495414,22.6842003,23.2397003,22.7502995,-13.0021,0.6783,313.3919983,4.2530799,0.509327,0.502305,0.500121,0.0032779,0.0033258,0.0024735,-0.0081957,-0.0078578,-0.0059122,0.0012691,0.0012409,0.0015053,0.0015855,0.0015889,0.0019174,16961.40039,1381.300049,44.7214012,28.2842999,712.3510132,25435.69922,9103.959961,1046.650024,5,5,2
not,2.1812999,0.612564,0.158051,-0.0671082,1.09527,0.193863,0.0545464,0.506079,0.712156,0.655783,6.9457302,4.0149798,3.16664,-1.2839,0.184204,280.6300049,4.0029001,0.392624,0.623444,0.708443,0.0001537,0.0016653,0.0008159,-0.0039743,-0.178934,-0.0312048,-0.0001268,0.0032632,0.0049143,-0.0001271,0.0032636,0.0049193,2114.639893,737.9019775,120,36.0555,111.3420029,979.4520264,680.4140015,218.375,6,1,5
not,3.2172201,0.317383,0.145142,0.0106812,0.428033,0.202597,0.0304686,0.780977,0.889771,0.602405,2.6488299,2.92098,1.9082299,1.74984,0.065511,122.3479996,4.00631,0.642203,0.814253,0.58236,-0.0002326,-0.0007687,-0.0002981,0.0109828,0.0290221,0.0123801,0.0005915,0.0024857,0.0031564,0.0005919,0.0024883,0.0031591,12651.5,640.3120117,20,22.3607006,54.0068016,17516.90039,601.960022,12.7636003,2,1,1
not,17.7056999,-2.8812301,-1.00635,-0.43103,33.4483986,10.2670002,4.3474398,0.41905,0.421801,0.42767,18.0170994,17.4601002,17.2735004,15.5059996,0.169817,207.4680023,4.1989002,0.535751,0.495957,0.479053,-0.0087881,-0.0106493,-0.0108612,0.0381184,0.0402633,0.0376229,-0.0005532,-0.0036979,-0.0053544,-0.0005979,-0.0040927,-0.0060375,19409,1464.920044,41.2310982,320.1560059,4724.5,20504.59961,15142.5,649.0430298,4,3,2
not,4.2898598,0.209167,0.146576,0.121765,25.5464001,7.73311,3.11816,0.446577,0.471808,0.50476,13.7508001,14.1522999,14.6159,-2.21312,0.332052,60.1860008,4.01124,0.43596,0.458217,0.488287,0.0017108,-2.21E-05,2.40E-06,-0.0072324,8.72E-05,-9.70E-06,-0.000609,-0.0008373,0.0017939,-0.0006608,-0.0009193,0.0019679,19881.80078,404.9689941,0,531.6010132,3468.02002,25775.5,3018.889893,0,4,3,4
not,1.52548,0.470459,0.18335,0.0803833,0.313292,0.0766241,0.0270205,0.723587,0.638778,0.553228,1.99718,1.94932,1.64891,0.999357,0.547723,239.697998,4.00142,0.519077,0.470099,0.426691,0.0008682,0.0022816,0.0027361,-0.0362893,-0.106834,-0.131448,0.0002312,0.000277,4.82E-05,0.0002314,0.0002772,4.82E-05,11639.09961,1414.959961,160,266.8330078,1247.119995,19926.80078,3273.449951,203.2700043,2,4,2
not,19.9284,-0.222412,-0.108337,-0.0878296,60.9915009,16.7171993,6.8074498,0.457643,0.472164,0.485547,20.4867001,20.4002991,20.6877003,-12.4312,0.668342,307.9530029,4.2547798,0.464809,0.478957,0.494363,0.0007512,0.0006443,0.0006455,-0.002015,-0.0017285,-0.0017178,-0.0010954,-0.0010929,-0.0013313,-0.0013315,-0.0013284,-0.0016231,2938.040039,14139.90039,108.1669998,371.2139893,3747.469971,22526.90039,37509.89844,1802.829956,4,6,2
not,19.3274994,0.832764,0.344238,0.169678,38.6227989,11.9387999,5.2592101,0.545739,0.531489,0.530637,16.5783997,17.0473003,17.9676991,0.896941,1.0611,268.8309937,4.2389002,0.512535,0.505027,0.511585,0.0004098,0.0025848,0.0027362,-0.0014909,-0.008312,-0.0083899,4.63E-05,0.0018134,0.0024354,5.17E-05,0.0020827,0.0028341,22969.80078,4821.089844,72.1110001,41.2310982,758.039978,59620.89844,16715.09961,1194.23999,3,3,2
not,2.9841599,-0.371033,-0.136139,-0.0649109,0.441919,0.128244,0.0582551,0.274506,0.30006,0.365717,2.59372,1.98513,2.0043299,-2.38658,0.0721386,322.9159851,4.0054302,0.377797,0.392464,0.433714,-0.0010508,-0.0006566,-0.0008905,0.0456117,0.0218455,0.0282118,-0.0010525,-0.0010869,-0.0016355,-0.0010533,-0.0010883,-0.0016379,2374.969971,4530.450195,180.2779999,31.6228008,40.0519981,2244.929932,9182.360352,450.5360107,2,5,1
not,1.8608,-1.60095,-0.904572,-0.476868,4.5715699,1.7562799,0.923744,0.252652,0.268021,0.271234,7.8540301,8.5385303,8.4936104,-0.0120697,0.398453,247.1170044,4.00211,0.430422,0.45058,0.401356,-0.0033698,-0.0059079,-0.0067467,0.0392674,0.0602936,0.0603667,0.0006988,-0.0017295,-0.0077249,0.0007066,-0.0017544,-0.0078701,7199.509766,6130.910156,20,10,52.7696991,13927.09961,25946.80078,109.5759964,1,3,2
not,22.2730007,-9.5366802,-4.6533799,-2.8350799,54.0144997,15.7013998,7.3070798,0.16452,0.168198,0.132725,29.8868999,28.4563007,27.7945004,22.1137009,0.0550821,162.0319977,4.3225098,0.455349,0.445814,0.399299,-0.0197725,-0.0269214,-0.0273181,0.123256,0.14059,0.1167,-0.0078668,-0.018252,-0.0378816,-0.0081724,-0.0192651,-0.0410376,3930.409912,1655.290039,142.1269989,0,0,29307.59961,24408.09961,3854.060059,7,3,2
not,18.1580009,-1.0166,-0.247803,-0.0146484,71.8292999,17.0090008,5.9461699,0.424483,0.443192,0.476772,22.3861008,21.1681004,19.9864006,-2.7065101,0.338921,278.0310059,4.20964,0.452836,0.45771,0.478233,-0.0008352,-0.0015159,-0.0020835,0.0020484,0.0039614,0.0057098,-0.0025677,-0.0036983,-0.0038878,-0.0032339,-0.0045397,-0.0046896,4925.870117,4065.459961,410,360.1390076,5414.779785,34744.30078,33949.60156,10496.2998,5,3,2
not,27.0550003,2.0162399,0.693542,0.239807,101.6920013,29.2019005,11.4850998,0.558851,0.561574,0.534295,25.6410007,26.4237003,26.2199993,0.613122,0.105713,90.4972,4.4914999,0.511512,0.530148,0.516726,0.0028619,0.0062005,0.0072478,-0.0063546,-0.0127994,-0.0148605,0.0007145,0.0031869,0.0033147,0.0009426,0.0043722,0.0045651,11557.2002,9533.650391,579.8280029,468.1879883,7192.370117,50411.80078,32623.09961,7508.77002,1,3,2
not,17.2437992,1.78815,0.637421,0.308167,43.1623001,10.8291998,4.10848,0.598873,0.567464,0.552319,17.5359001,17.1716003,16.6086998,9.3182297,0.0904162,237.1869965,4.1882501,0.528276,0.519591,0.513445,0.0034772,0.0044749,0.0063964,-0.01183,-0.0148368,-0.0216653,0.0012379,0.0029672,0.0034754,0.0014017,0.0033812,0.0039396,12945.09961,1202.209961,56.5685005,80.6225967,972.5640259,9110.660156,4499,937.6660156,2,3,2
not,21.3966999,3.0176401,0.953125,0.418274,41.456501,9.3913298,4.3462701,0.743734,0.658546,0.62332,18.6287003,15.6077995,15.7605,20.8080997,0.138615,198.7079926,4.2961001,0.635637,0.574342,0.566902,0.0022372,0.0076492,0.0067117,-0.0075765,-0.0275266,-0.023518,0.0063957,0.0064853,0.0070262,0.0072502,0.0072508,0.0079018,228.0350037,850,67.0820007,85.4400024,2344.02002,2299.959961,3740.639893,1736.119995,1,3,2
not,10.3620996,0.826538,0.535446,0.276382,6.0128999,2.5957799,1.19109,0.73918,0.731155,0.683566,6.6227698,7.8674998,8.6707602,9.72892,0.0594894,163.6419983,4.0663199,0.659419,0.647218,0.618683,-0.00015,-0.000764,0.0013283,0.0015471,0.0060129,-0.0091164,0.0013007,0.0038511,0.0072102,0.0013191,0.0039447,0.007441,730.8209839,5550.930176,14.1421003,200.25,1335.51001,1559.229981,10260.2002,118.1439972,3,3,2
not,27.0261993,-1.03979,-0.0129395,0.0849609,84.4623032,23.6019993,9.35462,0.470341,0.48728,0.500264,24.8216,24.0615005,23.8234005,-27.0261993,0.1072,2.5536301,4.4903498,0.497788,0.48794,0.493459,-0.0054381,-0.0028271,-0.001823,0.0130551,0.0064288,0.0041229,-0.001551,-0.0013384,-0.0002756,-0.0019718,-0.0017449,-0.0003603,500,6156.919922,67.0820007,237.0650024,3935.850098,5885.009766,13944.90039,1559.890015,4,3,2
not,16.9074993,-0.707764,-0.568726,-0.315796,50.5382996,15.2070999,5.5408401,0.446055,0.413817,0.42614,18.3146,19.5391006,19.0625,-16.6760006,0.181412,351.3779907,4.1807098,0.471598,0.450726,0.459675,0.001193,0.0006845,-0.0017298,-0.0036386,-0.0019586,0.0049585,-0.0006787,-0.0023916,-0.0058143,-0.000791,-0.0028429,-0.0069074,12955,3224.159912,306.7569885,282.3120117,5498.830078,26594.59961,21575.09961,4364.330078,5,6,2
not,4.7206402,-0.0426483,0.115067,0.17009,0.294032,0.0349258,0.022164,0.24809,0.550123,0.747615,3.89289,2.6784999,2.6406801,4.5890002,0.0996368,151.901001,4.0136199,0.257004,0.434463,0.490149,-4.76E-05,-0.0015122,-0.0005577,0.0015888,0.222862,0.0510714,-0.0016788,6.55E-05,-0.0005303,-0.0016811,6.55E-05,-0.0005304,10860.7002,2837.899902,98.4886017,28.2842999,27.8591003,23782.59961,2805.870117,78.0542984,1,1,3
not,9.0951796,2.13287,0.535248,0.137878,17.1994991,3.7219,1.2772501,0.702762,0.571804,0.478129,13.9069004,11.2939997,10.0944996,8.8848896,0.0982437,198.0319977,4.05093,0.595548,0.508611,0.446978,0.007644,0.0098078,0.0112308,-0.0440248,-0.057753,-0.068598,0.0025417,0.0008544,-4.65E-05,0.0026575,0.0008916,-4.84E-05,802.8079834,802.8079834,200,228.0350037,4236.560059,4839.180176,4839.180176,2633.48999,4,3,2
not,38.0341988,-5.3628502,-1.46851,-0.429688,68.8683014,28.0466995,16.3659,0.206648,0.287604,0.364474,28.1977005,26.405899,28.1672993,35.2789001,1.00687,200.1900024,5.0784402,0.36528,0.361337,0.394116,-0.0023917,0.0012185,0.004019,0.0089045,-0.0030547,-0.0078882,-0.0162491,-0.0224575,-0.0220406,-0.0180388,-0.0280253,-0.0311578,1122.540039,12572.09961,20,10,241.003006,7393.490234,35883.19922,392.8989868,4,3,2
not,9.9434004,0.303467,0.0585632,-0.0030212,15.1805,4.3579502,1.66982,0.49795,0.494874,0.492736,10.5553999,10.8552999,10.7764997,-3.4908199,0.0539703,287.3250122,4.0609999,0.478618,0.487693,0.493331,0.0010333,0.0016945,0.0008411,-0.005632,-0.0089714,-0.0044273,0.0001823,-5.15E-05,-9.06E-05,0.0001915,-5.43E-05,-9.55E-05,14875,3570.899902,147.647995,164.0119934,1938.77002,35041.10156,10913,1777.069946,1,3,2
not,5.8236699,-0.194733,0.18277,0.148071,5.0601802,2.2430201,0.829139,0.392301,0.531678,0.525674,7.40026,8.66714,7.8976898,-5.5700998,0.950576,18.5676003,4.02075,0.414408,0.503557,0.488638,-0.0002021,0.0010397,0.0032135,0.0020562,-0.0084233,-0.0243991,-0.0013899,-0.0022219,-0.0022864,-0.00141,-0.0022729,-0.0023462,3936.199951,6011.089844,244.1309967,331.0589905,675.7260132,14156.7998,19312.5,632.1569824,5,5,2
not,7.9409199,0.548553,0.232391,0.144836,4.7508602,1.46561,0.716813,0.561961,0.564288,0.581768,6.2694602,6.1883702,6.6960802,4.2403498,0.257836,119.3290024,4.0387301,0.495826,0.514451,0.536417,0.0015997,0.0018978,0.0015807,-0.0160529,-0.018145,-0.0138562,0.0002827,0.0008493,0.0018359,0.000287,0.0008633,0.0018718,9940.889648,6186.189941,180.2779999,419.7619934,3297.429932,16361,13696.59961,982.3339844,4,7,2
not,12.8873997,-5.3786001,-2.2086201,-1.11285,43.3855019,11.8893003,4.3871899,0.372389,0.402386,0.411847,23.3516998,21.7320004,20.2807007,-2.9251299,0.979736,283.1419983,4.1033602,0.565648,0.548094,0.535362,-0.0180161,-0.02902,-0.0376517,0.0801283,0.116502,0.143651,0.0008738,0.0012041,0.002048,0.0009409,0.0013179,0.0022627,2521.790039,2521.790039,971.2880249,393.572998,10439.90039,14920.09961,14909.7998,13811.40039,7,3,2
not,10.5204,1.96014,0.848984,0.487335,17.8738995,4.9008198,1.8776,0.665559,0.662348,0.667844,13.2909002,11.6702995,11.5229998,10.4120998,0.0597476,168.0780029,4.0683899,0.561244,0.565191,0.578587,0.0019097,0.0048383,0.0056216,-0.0104913,-0.0244947,-0.0280851,0.0006715,0.0032951,0.006135,0.0007051,0.0034899,0.0065073,7470.930176,4450.669922,86.0233002,230,2416.060059,11062.90039,9897.620117,882.4689941,7,11,2
not,6.6350498,0.659058,0.29718,0.136047,5.9282999,1.56231,0.609441,0.53266,0.513882,0.524634,7.2044201,7.1833601,6.90799,4.7832198,0.867716,126.8300018,4.0269699,0.463915,0.455183,0.481517,0.0016872,0.0035773,0.0048269,-0.0149603,-0.0317772,-0.0433337,-2.40E-06,-5.42E-05,0.000581,-2.50E-06,-5.52E-05,0.0005918,19384.40039,828.5529785,778.0100098,482.5969849,3397.399902,19663,3629.659912,3919.290039,5,5,2
not,9.5868301,1.1964999,0.329498,0.0827942,8.8926601,2.05668,0.933706,0.636514,0.64265,0.566936,9.5170097,7.6726999,7.63837,9.54105,0.0593066,174.0850067,4.0566502,0.540362,0.583265,0.542591,0.0033333,0.0033035,0.0037493,-0.0231536,-0.0258517,-0.0281245,0.0022735,0.0026592,0.0025907,0.0023445,0.0027246,0.00266,23940,2644.840088,790.7589722,328.0239868,3819.179932,37955.80078,11834.90039,6287.660156,4,3,2
not,5.60883,2.5238299,0.947632,0.456329,9.7703199,1.9603699,0.635677,0.738333,0.722889,0.728461,12.6012001,8.8354502,7.3522201,5.4324799,0.330249,192.9060059,4.0192399,0.569174,0.565201,0.591482,0.0052319,0.0076343,0.0079495,-0.0451692,-0.0663386,-0.0703233,0.0005392,0.0044143,0.0064822,0.0005501,0.0045023,0.0066069,13371.59961,737.835022,236.0079956,390.1279907,3287.949951,18863.30078,4393.830078,2356.080078,4,3,2
not,4.0871401,-1.11853,0.0614624,0.116791,6.1944098,0.750455,0.409941,0.221363,0.574076,0.598726,9.5794497,5.8353601,5.7131701,2.53844,0.0566903,234.4259949,4.0102,0.302374,0.557639,0.554145,-0.0032742,-0.0043217,-0.0002305,0.0463056,0.0691212,0.0029161,-0.0027412,-0.0002286,-0.0001886,-0.0027617,-0.0002299,-0.0001903,10242.40039,5096.169922,36.0555,180.2779999,791.5189819,16577.69922,12858.7998,183.6560059,1,5,2
not,15.1066999,0.0274353,-0.142242,-0.172028,39.6960983,9.8873196,4.1005502,0.461951,0.475281,0.45837,17.4344006,16.0149994,16.1564007,-10.7741003,0.106974,316.9960022,4.1431799,0.460855,0.487292,0.481687,0.001697,0.0014809,0.0008582,-0.0056238,-0.0052027,-0.0029823,-0.0007788,-0.0006238,-0.0010088,-0.0008876,-0.0007011,-0.0011366,2306.340088,2306.340088,158.1139984,174.9290009,2784.050049,9795.179688,9795.179688,2095.050049,4,3,2
